Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Carbink,96,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Rock Slide,Moonblast,9,12,5,75000
Registeel,94.4,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Stunfisk (Galarian),93.8,618,ground,steel,101.8,127.9,169,2200089,26.5,1497,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Swampert (Shadow),93.3,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Swampert,93.1,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Pelipper,92.5,279,water,flying,123.3,128.7,114,1809463,26,1496,Wing Attack,Weather Ball (Water),Hurricane,5,9,3,50000
Medicham,92.3,308,fighting,psychic,105,140.3,142,2093069,50,1482,Counter,Ice Punch,Psychic,6,8,3,50000
Poliwrath (Shadow),92,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Power-Up Punch,Ice Punch,5,6,3,50000
Lickitung,91.8,108,normal,none,98.3,126.9,183,2282878,50,1498,Lick,Body Slam,Power Whip,12,17,3,50000
Scrafty,91.7,560,dark,fighting,110.4,155.4,117,2007526,24.5,1489,Counter,Foul Play,Power-Up Punch,7,5,3,50000
Sableye,90.9,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Return,6,9,5,75000
Quagsire (Shadow),90.5,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Dubwool,90.4,832,normal,none,111,141.7,128,2013564,26,1499,Double Kick,Body Slam,Payback,3,5,3,10000
Walrein (Shadow),90,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Whiscash,89.9,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Blizzard,5,9,1,10000
Machamp (Shadow),89.7,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Counter,Cross Chop,Rock Slide,5,7,3,50000
