Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Bronzor,100,436,steel,psychic,37.6,134.5,130,657440,42,498,Confusion,Psyshock,Heavy Slam,4,5,3,50000
Wynaut,93.4,360,psychic,none,38.7,84,194,630127,50,493,Counter,Mirror Coat,,8,0,3,10000
Eevee,83.5,133,normal,none,61.8,72,90,400187,18,499,Quick Attack,Body Slam,Last Resort,5,7,5,75000
Seel,83.4,86,water,none,53.8,80.4,106,458992,20.5,498,Water Gun,Aqua Tail,Icy Wind,12,15,3,50000
Jangmo-o,83,782,dragon,none,63.3,72.9,84,387682,20,496,Dragon Tail,Brick Break,Dragon Claw,4,4,5,75000
Deino,82.9,633,dark,dragon,69.1,60.6,86,360605,18,499,Dragon Breath,Body Slam,Crunch,12,15,5,75000
Ducklett,81.8,580,water,flying,57.6,71.3,106,435461,24,500,Wing Attack,Brave Bird,Aerial Ace,7,6,3,50000
Wooper (Shadow),81.6,194,water,ground,59.7,60.5,116,418656,34,500,Mud Shot,Body Slam,Mud Bomb,4,5,3,50000
Wooper,80.9,194,water,ground,59.7,60.5,116,418656,34,500,Mud Shot,Body Slam,Mud Bomb,4,5,3,50000
Zigzagoon (Galarian),80.5,263,dark,normal,53.8,79,108,458776,50,497,Tackle,Body Slam,Dig,12,27,1,10000
Grimer (Alolan) (Shadow),80.3,88,poison,dark,70,51.5,99,356693,14,500,Bite,Crunch,Frustration,23,35,3,50000
Stunky (Shadow),79.8,434,poison,dark,69.5,57,91,360128,16.5,500,Bite,Crunch,Sludge Bomb,23,25,3,50000
Cottonee,79.6,546,grass,fairy,53.5,89.1,96,457749,28.5,495,Charm,Grass Knot,Seed Bomb,9,8,1,10000
Shelmet,79,616,bug,none,49.7,100.1,99,493031,24,496,Infestation,Body Slam,Signal Beam,3,5,3,50000
Chikorita,78.7,152,grass,none,59.5,84.9,83,418811,21.5,499,Vine Whip,Body Slam,Grass Knot,5,7,3,10000
Dratini (Shadow),78.5,147,dragon,none,72.2,60.6,79,345417,19,499,Dragon Breath,Aqua Tail,Wrap,12,15,5,75000
